Item,Frequency
아닐 거야 내,5
다 이기고,5
다 이겼어요,5
아닐 거야 네가,5
아닐 거야 무슨,5
아닐 거야 내가,5
다 이기적이야,5
그곳에 도착할 수,5
거기서 뭐 했는데,5
아닐 거예요 그,5
아닐 거예요 전,5
그곳에 머물렀다,5
그곳에 디에고의,5
아닐 것 같고,5
아닐 것 같네요,5
그곳에 무사히,5
그곳에 머물지,5
거기서 뭐라고,5
다 이룰 수,5
그곳에 무엇이,5
아닐 때도 있죠,5
다 이뤄질,5
아닐 때도 있지만,5
그곳에 산다,5
거기서 뭐하고 있어,5
아닐 수 없네요,5
아닐 수 있다는,5
아닐 수 있다고,5
다 이번,5
다 이름이,5
다 이상한,5
아닐 수도 있겠다,5
아닐 수도 있겠네,5
그곳에 서,5
그곳에 살지,5
그곳에 어떤,5
아닐 지도요,5
아닐걸 내,5
아닐걸 선회 시켜,5
아닐걸 선회,5
아닐 텐데요 그,5
아닐 테지만,5
아닐걸요 그럼,5
아닐걸요 제가,5
아닐걸요 전,5
아닐걸 선회 시켜 볼래,5
아닐걸요 혹시 그,5
아닐까 내,5
아닐걸요 혹시 그 포커판,5
아닐걸요 혹시,5
다 이해하니까,5
다 이해하네,5
그곳에 있나요,5
아닐까 싶었어,5
다 이해할 거예요,5
다 이해할 거야,5
아닐세 하지만,5
아닐지 몰라 하지만,5
아닐지 누가,5
다 익혔어,5
그곳에 있습니다,5
그곳에 있고 싶다,5
아닐지도 모르겠군,5
아닐지는 몰라도,5
아닐지 몰라도요,5
아닐지도 모르죠 하지만,5
다 일이,5
그곳에 있었다는 것을,5
아닐지도 하지만,5
다 읽었고,5
아님 같이,5
아님 경찰,5
다 읽었을,5
그곳에 있으면,5
그곳에 있었죠,5
아님 그게,5
아님 내가 할까요,5
아님 내가 널,5
아님 나와,5
다 잃게 될,5
아님 넌,5
아님 니,5
거기서 배운,5
아님 당신은,5
다 잃어버리고,5
아님 두,5
그곳에 있죠,5
그곳에 있을 수,5
아님 둘 다,5
아님 멋진,5
그곳에 자주,5
아님 뭐겠어요,5
아님 빨간색,5
아님 뭐지,5
다 잃었잖아,5
아님 빨간색 입어 미련한,5
아님 빨간색 입어,5
아님 실베스타,5
아님 스튜어트,5
그곳에는 웃음이,5
그곳에는 아무도,5
거기서 보낼,5
아님 실베스타 스탤론 팬,5
아님 아직도,5
아님 실베스타 스탤론,5
아님 안 때리는,5
아님 안 때리는 게,5
다 잃을 순 없어요,5
그곳에는 웃음이 없어요 숲에서,5
그곳에는 웃음이 없어요,5
아님 우리 둘,5
아님 우리 둘 다,5
아님 우주 정거장,5
다 입어,5
다 입 좀,5
거기서 보면,5
거기서 보고,5
다 있구나,5
아닙니다 경찰,5
다 있나요,5
아닙니다 고맙습니다,5
다 있네 이들에게 빨리,5
다 있네 이들에게,5
그곳으로 가,5
그곳에선 영원히,5
그곳에서 무슨,5
아닙니다 그들이,5
아닙니다 그러나 그것에게 당신들,5
아닙니다 그러나 그것에게,5
그곳으로 가야,5
아닙니다 그런 건,5
아닙니다 그럼 무슨,5
그곳으로 가자,5
아닙니다 그렇군요,5
다 있단다,5
그곳으로 돌아가서,5
그곳으로 돌아가라,5
다 있어 내가,5
아닙니다 네가,5
그곳은 마치,5
그곳으로 돌아가야,5
아닙니다 당연히,5
다 있었지,5
그곳을 떠났다,5
그곳을 떠나,5
거기서 뵙겠습니다,5
아닙니다 몇,5
아닙니다 만약,5
아닙니다 또,5
그곳의 모든 사람들을,5
아닙니다 바로,5
아닙니다 뭐라고요,5
아닙니다 분명히,5
아닙니다 범인은,5
다 있죠 높은 곳이,5
아닙니다 사적인,5
다 잊게 될 거야,5
다 있죠 높은,5
그곳을 함께,5
아닙니다 선생님 따님의,5
아닙니다 세,5
아닙니다 선생님 따님의 이름에서,5
다 잊고 싶어요,5
다 잊어라,5
그곳이 존재한다는 걸,5
그곳이 존재한다는,5
그곳이 유일한,5
아닙니다 앞으로,5
아닙니다 아직은,5
아닙니다 어제,5
다 잊어버리자고,5
아닙니다 여러분,5
다 잊어버리는,5
그곳이 존재한다는 걸 어떻게,5
거기서 빠져나와야,5
거기서 부터,5
아닙니다 여러분이,5
아닙니다 여보세요,5
아닙니다 여러분은,5
아닙니다 오늘 아침,5
다 잊었습니다,5
다 잊으라고,5
그깟 걸 가지고,5
그깟 걸,5
그깟 거,5
아닙니다 이걸,5
다 잊은 줄 알았는데,5
아닙니다 자네는,5
아닙니다 일단,5
거기서 빼내야,5
거기서 빨리 나와,5
다 자격이,5
그깟 아기가 뭐라고,5
아닙니다 저흰,5
그깟 아기가,5
아닙니다 조금,5
다 자라면,5
다 자라,5
아닙니다 항상,5
아닙니다 현재,5
아닙니다 하지만 그,5
다 자리로,5
다 자랄 때까지,5
아담스의 그릇,5
아담스 패밀리,5
다 잘 돼,5
아델홀츠 요원,5
아델리 펭귄들은,5
다 잘 끝났어,5
거기서 살면,5
아동 보호 서비스에서,5
아동 병원,5
아동 복지는,5
아동 노동,5
아동 성,5
아동 성매매를,5
아동 살해범은,5
아동 실종 및,5
아동 성추행범,5
다 잘 알죠,5
아동 인신매매,5
아동 실종 및 학대,5
다 잘 풀렸어,5
그나마 여기서,5
그나마 안전한,5
아두수르 시루바제르 아두수르,5
아두수르 시루바제르,5
아동 학대에,5
아드님 이름이,5
다 잘 풀릴거야,5
그나마 운이,5
아드님에 관한,5
아드님은 지금,5
다 잘돼서,5
거기서 술을,5
아드님의 죽음에,5
아드님이 여기,5
아드레날린 중독자,5
아드레날린 주사를,5
아드님이 어디 있는지,5
다 잘됐네요,5
아드레날린이 혈청의 촉매제라서,5
아드레날린이 혈청의 촉매제라서 고통을,5
아드레날린이 혈청의,5
아드리안 베라 셀란데는 아내,5
다 잘되가는,5
그나마 있던,5
거기서 술,5
아들 같아요,5
거기서 아주,5
아들 그거,5
아들 결혼식에,5
아들 근처에,5
다 잘될 거야 내가,5
아들 낳고,5
아들 낳으면,5
그나저나 내일,5
거기서 안 살아도,5
아들 너,5
거기서 안전하길,5
아들 놈,5
아들 눈을,5
거기서 안전하길 바래요 미안하네,5
거기서 안전하길 바래요,5
아들 둘에,5
다 잠가,5
아들 말야,5
아들 또한,5
그나저나 여기서,5
거기서 얘기해,5
아들 모두,5
다 잠깐,5
다 잠그고,5
아들 몸에,5
아들 보고,5
아들 미안해,5
아들 목을,5
거기서 얻은,5
아들 사랑해,5
아들 숙제에,5
아들 소린,5
다 잡을 거야,5
다 잡았었는데,5
그나저나 이게,5
다 잡혀간다고,5
다 잡을 수 있어,5
다 잡혔어요,5
다 잤네,5
다 잡혔어,5
그나저나 자기,5
아들 여기,5
아들 없이는,5
아들 오토가,5
다 잿더미로,5
다 재밌게,5
다 장난이었어,5
다 저 때문에,5
그날 교수님,5
그날 거기에,5
아들 하나 있으면,5
아들 하나요,5
아들 하나 딸,5
다 적을,5
그날 그의,5
아들 하지만,5
아들 한테,5
다 전쟁,5
아들과 그,5
아들 혹은,5
아들과 나는,5
아들과 나,5
다 전화해,5
다 적혀있어요,5
아들과 아내를,5
아들과 얘기하고,5
아들과 단둘이,5
아들도 그렇고,5
아들도 있어,5
아들도 아닌데,5
다 정리한,5
다 정리됐어요,5
아들들은 어떻게,5
아들도 죽일,5
아들들을 데리고,5
다 정리할 거야,5
아들아 그리고,5
그날 너한테,5
아들아 사랑해요,5
아들아 무슨,5
아들아 안,5
다 정상인,5
다 정상이었어요,5
아들아 이건,5
아들에 관해,5
아들아 지금,5
다 정지,5
거기서 우린,5
아들에게 그런,5
아들에게 좋은,5
아들에 대해서 말이야,5
아들은 괜찮아,5
그날 두,5
아들은 살아,5
아들은 아무,5
아들은 아버지,5
아들은 아니지,5
다 제 덕분이라고요 도움이,5
다 제 부덕의 소치입니다,5
아들은 어디 있지,5
다 제 부덕의,5
그날 말이야,5
거기서 움직이지,5
아들은 어떻소,5
아들은 어때요,5
아들은 원하는,5
다 제 잘못이에요 제가,5
아들은 이미 죽었어,5
다 제거했어,5
그날 무슨 일이 있었죠,5
거기서 이런,5
아들은 항상,5
아들은 학교에,5
아들을 가진 기분을,5
아들을 계속,5
아들을 가진,5
다 제쳐 두고,5
아들을 구할 수,5
다 제쳐두고,5
아들을 구해,5
아들을 그런,5
다 졌어,5
다 제치고,5
다 제쳐놓고,5
아들을 낳게,5
아들을 꼭,5
다 조사,5
아들을 낳아서,5
그날 밤 그녀가,5
그날 밤 그가,5
아들을 낳은,5
다 조사했어요,5
다 조사했는데,5
아들을 다시 볼,5
그날 밤 그는,5
아들을 데려와,5
다 조용히 해요,5
거기서 일하게,5
거기서 일하거든요,5
아들을 돕는,5
아들을 되찾을 수 있을,5
다 조져놓을 땐,5
아들을 때리고,5
아들을 두셨네요,5
아들을 만나게,5
아들을 또,5
다 좆까라고 해,5
다 좆까라고,5
다 조져놓을,5
아들을 먼저,5
다 좋긴,5
아들을 보면,5
아들을 봐,5
다 좋대,5
다 좋게,5
거기서 일하기,5
거기서 일어나는,5
아들을 살리려고,5
아들을 살해한,5
아들을 살려,5
아들을 안고,5
아들을 왕으로,5
아들을 쐈어,5
아들을 사랑하지,5
아들을 위하여,5
아들을 위한 시 윌리엄,5
아들을 원하는,5
아들을 잃었고,5
아들을 잃었다고,5
아들을 잃어서,5
아들을 이,5
다 좋았어요,5
다 좋았는데,5
아들을 잃을 순,5
아들을 잃었소,5
아들을 저,5
아들을 잡은,5
다 좋은 거지,5
아들을 죽였소,5
아들을 죽이려,5
아들을 죽이다니,5
다 좋죠 그러게,5
다 좋은 거야,5
다 좋아서,5
아들을 지키려고,5
아들을 줄 것이다,5
다 주는 거야,5
아들을 찾는데,5
아들을 찾는 데,5
아들을 찾았어요,5
다 죽거나,5
다 주실,5
그날 밤 이,5
아들을 키우고,5
아들의 대학교,5
아들을 해칠,5
아들을 찾을 수,5
아들의 안전을,5
아들의 얼굴을,5
아들의 복수를,5
아들의 대학교 진학을,5
그날 밤 일에 대해,5
거기서 일했던,5
아들이 그걸,5
아들의 죽음에 대해,5
아들이 너무,5
다 죽길,5
그날 밤 있었던 일을,5
아들이 둘이죠,5
아들이 될게요,5
그날 밤 제가,5
거기서 자랐어,5
아들이 보는,5
아들이 보고 싶어,5
다 죽어버려서,5
다 죽어버려,5
그날 밤 호텔에서,5
아들이 엄마,5
그날 밤 파티에서,5
아들이 우주에,5
다 죽었다 그,5
다 죽었다 그 새끼보다,5
그날 밤에 그,5
그날 밤에 같이,5
다 죽었다면 그게,5
거기서 절,5
다 죽었다면 그게 무슨,5
아들이 있었지,5
아들이 있을,5
다 죽었어요 병충해 때문에,5
아들이 있죠,5
다 죽었어요 병충해,5
거기서 정확히,5
거기서 저녁,5
거기서 잠깐만,5
다 죽었을 거예요,5
아들이 죽었다는,5
그날 밤에요,5
아들이 죽은 후,5
아들이 죽었을 때,5
아들이 필요해,5
아들이 태어난,5
아들이 하는,5
아들이 하나 있어요,5
아들이 참,5
거기서 조용히,5
아들이나 마찬가지야,5
아들이나 다름없어,5
아들이 할,5
아들이야 그는,5
다 죽여버린다,5
다 죽여버렸지,5
아들이에요 제,5
아들이야 우리 아들,5
다 죽여야지,5
다 죽여야겠어,5
아들인 칼 드로고의 아내였다,5
아들인 칼 드로고의,5
아들인 칼,5
아들일 수도,5
그날 술을,5
그날 술,5
그날 불침번,5
그날 분명히,5
다 죽였어야,5
아들하고 같이,5
그날 아버지가,5
아들한테 무슨 일이,5
다 죽였죠,5
다 죽였지 다 머리통을,5
다 죽였지 다,5
그날 아버지를,5
거기서 죽었어요,5
아랍 에미리트에,5
아랍 놈들,5
아라드 소령,5
아랍어를 할 줄,5
아랍어를 할,5
거기서 죽을 수도,5
아랑곳 않고,5
아래 내려가서,5
아래 내가,5
다 죽을 거라고요,5
아래 마을,5
아래 뭐가 있는지 스캔해봤어,5
아래 모여,5
다 죽을 거야 머리,5
거기서 지내,5
아래 번호로,5
아래 새로운,5
아래 비춰봐,5
아래 뭔가가,5
아래 서랍에 있어,5
아래 선반에,5
다 죽을 순 없어,5
그날 우연히,5
거기서 지내고,5
거기서 지내게,5
거기서 지금,5
아래 있는 건 다,5
아래 우리의,5
아래 있다는,5
다 죽이고도,5
그날 이,5
아래 잘,5
아래 쪽,5
아래 지표면에는,5
아래 있으면,5
아래가 아니라 위를,5
다 죽이려 했어,5
다 죽이러,5
다 죽이라,5
거기서 지내는,5
아래로 기울고,5
아래로 굴러,5
아래로 기울고 있다 진입하기,5
아래로 기울고 있다,5
다 죽이자,5
다 죽이려는,5
다 죽이진,5
그날 입었던,5
다 죽인 거야,5
아래로 던져,5
아래로 내리고,5
그날 있었던 일은,5
그날 있었던 일,5
아래로 발장난 해,5
아래로 모두,5
아래로 데려가,5
거기서 첫,5
아래로 해서,5
아래로 빨려,5
아래로 향할 겁니다 밤이,5
아래로 향할 겁니다,5
다 죽일 순,5
아래를 보지,5
다 죽잖아,5
아래를 봐요,5
아래만 봐요 먼지에 뒤덮인,5
아래만 봐요 먼지에,5
다 준다고,5
그날 저는,5
거기서 피난시켜,5
아래에 묻혀,5
아래에 뭔가,5
아래에 뭐가 있는지 알아,5
아래서 누리는 소망,5
아래에 있는데,5
아래에 열쇠가,5
거기서 피해,5
거기서 태어났어,5
아래에서 당신과 사랑에 빠지는,5
아래에서 잡담이나 뻘짓 할,5
아래에서 잡담이나 뻘짓,5
아래에서 잡담이나,5
아래에서 무슨 일이,5
아래에서 당신과 사랑에,5
아래에서요 우리의 새로운,5
아래에서요 우리의 새로운 고향에서요,5
아래에서요 우리의,5
아래층 사람들이,5
아래쪽에 있다,5
다 준비했습니다,5
아래층에 누가,5
아래층에 내려가,5
거기서 한번,5
거기서 한 건,5
아래층에 있고,5
아래층에서 만나,5
다 줄 테니까,5
아래층으로 내려가야,5
아래층으로 가자,5
아레나 풋볼,5
아랫도리 털,5
다 쥐고,5
그날 학교에서,5
아령처럼 허접한 거 세상은,5
아령처럼 허접한 거,5
아뢸 말씀이,5
아루스 행성의,5
아뢰옵기 황공하오나,5
아령처럼 허접한,5
아르네 던스트,5
아르고 씨,5
아루스 행성의 수호자시고 손님은,5
아르민 알레르토,5
아루스 행성의 수호자시고,5
아르카디아 호가,5
아르투로 페레즈 레베르테 원작,5
아르투로 페레즈 레베르테,5
아르투로 페레즈,5
다 지난 일이니까,5
다 지나고,5
다 지겨워,5
그날 파티에,5
아름다운 거야 사랑할 땐,5
아름다운 거야 사랑할,5
아름다운 건 처음,5
아름다운 건 부인할 수,5
아름다운 건 부인할,5
아름다우시네요 고마워요,5
아름다운 곳을,5
아름다운 것들이,5
그날이 왔다,5
아름다운 광경,5
아름다운 공주님,5
아름다운 곳인데,5
다 지워버리고,5
아름다운 꿈,5
아름다운 광경은,5
다 지웠는데,5
다 지워졌지,5
다 지워버렸어,5
아름다운 네,5
아름다운 날이에요,5
아름다운 당신,5
다 지웠잖아,5
아름다운 도시지,5
아름다운 도시,5
아름다운 모습을,5
다 지킬,5
다 지표면에서,5
그냥 가 버려,5
그냥 가 내가,5
그냥 가 그냥 가,5
그날이 왔어,5
그날이 올 때까지,5
거기서부터 시작해야,5
아름다운 밤이군요,5
다 지표면에서 얻은 자료인가요,5
아름다운 베스,5
아름다운 부인과,5
아름다운 밤이에요,5
다 지표면에서 얻은,5
아름다운 사람이야,5
아름다운 분이,5
다 진심이었어요,5
그냥 가 주세요,5
아름다운 섬의,5
다 진정하고,5
아름다운 세,5
다 진정 좀,5
아름다운 세상의,5
아름다운 세상,5
아름다운 숙녀분들,5
아름다운 소녀를,5
그냥 가게 놔둬,5
그냥 가거라,5
거기선 정말,5
아름다운 신부,5
아름다운 순간을,5
다 짐승이야,5
다 짊어질,5
그냥 가게 해줘요,5
아름다운 아이들,5
아름다운 아이,5
그냥 가게에서,5
그냥 가게에,5
그냥 가게 둬요,5
아름다운 여성은,5
다 집을,5
아름다운 여인은,5
아름다운 여자고,5
아름다운 여인에게,5
그냥 가겠다는,5
거기에 가기 위해,5
거기선 안,5
아름다운 여자랑,5
아름다운 여자였죠,5
아름다운 여자는 본,5
아름다운 영혼을,5
다 찍고 있어,5
그냥 가기만,5
그냥 가기나 해,5
아름다운 인생을,5
아름다운 제,5
아름다운 음악을,5
아름다운 하늘 아래에서 당신과,5
아름다운 하늘 아래에서,5
아름다운 하늘,5
그냥 가까운,5
그냥 가기나,5
아름다운 해변에,5
아름다움 그,5
다 차면,5
아름다움을 보는,5
다 차려,5
아름다워 아주,5
다 찼고,5
다 찬,5
아름다워 하지만,5
그냥 가능한,5
그냥 가는데,5
거기에 가족이,5
아름다워질 거야,5
아름답게 비추네,5
아름답고 아주,5
다 찾아봤습니다,5
다 찾아내서,5
아름답기도 해라,5
아름답다 정말,5
아름답다 네,5
다 찾은 거,5
아름답지 않은,5
그냥 가만히 서서,5
아리송해 보일 듯,5
아리송해 보일,5
아리마 메구,5
거기에 건배하죠,5
거기에 같이,5
거기에 간다,5
아리아 스타크 役,5
아리송해 아리송해,5
아리아 스타크의,5
아리아나 그란데,5
다 챙겨라,5
다 책임질게요,5
아마 갈 것이다,5
아마 가지고 있을 것이다,5
아리조나 주,5
그냥 가만히 있지,5
아마 걔,5
다 챙겼어 확실해,5
다 챙겼나요,5
아마 경찰이,5
거기에 그의,5
거기에 관심이,5
아마 그거,5
다 처리하겠습니다,5
다 챙길,5
다 처리하는,5
그냥 가면 안 되지,5
그냥 가방,5
다 처리했다,5
그냥 가방에,5
거기에 난 이끌린 거야,5
거기에 난 이끌린,5
아마 그러겠지,5
다 체포할,5
다 체크해,5
아마 그런 것,5
아마 그런 걸,5
다 쳐,5
다 철수시켜,5
아마 그럴 것이라고 생각했다,5
다 최고예요 저도 포함해서죠,5
다 최고예요 저도,5
다 최고예요,5
다 추측일,5
아마 그럴지도 모른다고,5
다 취소할,5
그냥 가버린,5
그냥 가버리지,5
그냥 가버리면 안,5
그냥 가버리네,5
아마 기꺼이 당신도 바보로,5
아마 긴,5
아마 기꺼이 당신도,5
아마 그에게,5
아마 나랑,5
아마 깜짝 놀랄,5
아마 남쪽에서,5
아마 남은,5
다 치울 거지,5
다 치료할 거야 보이는,5
거기에 누워,5
아마 내일은,5
아마 너가,5
다 치웠겠죠 전투,5
다 치웠겠죠,5
아마 너와,5
다 치웠겠죠 전투 트럭으로,5
그냥 가슴이,5
다 친구잖아,5
아마 다섯,5
그냥 가시지,5
그냥 가시오,5
그냥 가스가,5
아마 당신보다,5
아마 당신과,5
아마 당신 말이,5
아마 당신은 할 수,5
아마 당황했나봐요,5
아마 당신은 할,5
아마 당분간,5
아마 대부분의,5
아마 대부분,5
아마 더 많이,5
다 컸다는,5
다 컸을,5
아마 두 시간,5
그냥 가요 전 틀렸어요,5
그냥 가요 전,5
그냥 가야겠어,5
아마 때가 된 것,5
아마 때가 된,5
다 컸지만,5
아마 많이,5
그냥 가자 그냥,5
아마 몇 분전에 죽었을,5
아마 몇 분전에,5
다 큰 놈이,5
아마 몰랐을,5
아마 모를 거예요,5
다 큰 성인이야,5
그냥 가정일,5
거기에 당신을,5
아마 믿지,5
아마 반,5
아마 뭔가 있을 거야,5
아마 별일 아닐,5
아마 별로,5
다 키운,5
아마 분명히,5
아마 살아,5
다 타버리고,5
아마 세계,5
아마 스트레스,5
다 탔다고,5
다 타버릴,5
거기에 대해선 할,5
다 태워버렸어,5
다 태워 버리고,5
아마 안 될 거야,5
다 태워버렸죠 아직 옥수수가,5
다 태워버렸죠 아직,5
아마 약간의,5
다 태워요,5
다 태워야,5
다 태워버릴 거야,5
다 태워버렸죠,5
그냥 가져갔어,5
아마 엄청,5
아마 엄마는,5
아마 없을걸요,5
아마 없을걸,5
아마 없을 겁니다,5
다 태웠어,5
다 털린,5
그냥 가줘요,5
아마 오늘은,5
다 털어놓는 거야,5
그냥 가지 말까,5
아마 우리 모두,5
그냥 가지 마요,5
거기에 도착했는지,5
거기에 더해,5
아마 우리가 할,5
다 털어놔도,5
아마 이러겠지,5
아마 이거,5
그냥 간,5
아마 일을,5
아마 있을 거예요,5
아마 일종의,5
다 토하고,5
거기에 동의하지,5
아마 자네,5
아마 자네도,5
아마 자네의 손자들이,5
다 틀려,5
다 튀잖아,5
아마 저를,5
그냥 갈 거예요,5
거기에 두지,5
아마 전에,5
다 틀어진,5
거기에 두십시오,5
아마 좋아할 거야,5
아마 좀 더,5
아마 지금 당장,5
거기에 들어갈 수,5
아마 집,5
아마 지역,5
아마 찾고,5
아마 집으로,5
아마 커피,5
그냥 감기,5
그냥 갈래요,5
거기에 딱,5
다 팔아도,5
아마 학교에,5
그냥 감기예요,5
아마 훨씬 더,5
아마 확실히,5
그냥 감기야,5
다 퍼진,5
아마도 가장 흥미로운,5
다 펼쳐,5
다 펼쳐놓고,5
다 편하게,5
그냥 갑니다,5
아마도 그것,5
아마도 그것을,5
다 평소처럼,5
아마도 그는 그의,5
다 포기하는,5
그냥 강을,5
아마도 그때,5
아마도 그랬을,5
아마도 그래야 할,5
아마도 그래야,5
다 표현할 수가,5
다 포함해서,5
그냥 강에,5
아마도 그럴걸,5
아마도 그렇지,5
아마도 그리고,5
다 풀려,5
그냥 같이 노는,5
아마도 그저,5
다 풀렸네,5
아마도 나는 너를,5
아마도 나는 그,5
아마도 나는 단지,5
다 풀린,5
그냥 같이 일하는,5
그냥 같이 가는,5
아마도 내 그림자였겠죠,5
아마도 나도,5
아마도 내가 너에게,5
다 피워,5
다 풀어서,5
아마도 너희들은,5
아마도 니가,5
아마도 누군가가,5
다 필요 없다고,5
아마도 단지,5
다 필요하지,5
아마도 당신네,5
다 필요하진,5
그냥 걔랑,5
아마도 당신은 그것을,5
그냥 걔들,5
아마도 더 중요한 것은,5
아마도 더 중요한,5
아마도 뭔가가,5
아마도 못,5
다 하겠지,5
아마도 방금,5
아마도 아,5
아마도 바로,5
아마도 아마,5
아마도 아닐,5
다 하고 있다고,5
거기에 뭔가가 있다는,5
아마도 엉뚱한,5
아마도 언젠가는,5
아마도 어떻게,5
아마도 영원히,5
아마도 여전히,5
아마도 여기가,5
다 하는 것,5
그냥 거기로,5
아마도 우리는 그,5
아마도 유일한,5
아마도 원래,5
다 하려는,5
그냥 거짓말,5
거기에 빠져,5
다 하면 안 돼,5
다 하면 되지,5
아마도 저기,5
아마도 절대,5
그냥 건물,5
그냥 건너뛰고,5
아마도 죽었겠지만요 사랑이야 말로,5
아마도 죽었겠지만요 사랑이야,5
아마도 죽었겠지만요,5
아마도 지금이,5
아마도 지금은,5
다 하실 수,5
그냥 걱정이 돼서,5
아마도요 그들이,5
아마도요 그런데,5
아마도요 그들이 가능하다면,5
아마도요 그게,5
아마도요 끊기기 직전에,5
아마도요 내가,5
아마도요 끊기기 직전에 성공,5
아마도요 끊기기,5
다 하지는,5
그냥 걸어가고,5
아마디 가문이,5
아마디 가문을,5
아마짱 마지막,5
아마짱 마지막 주,5
아마존 프라임,5
아마존 세포를,5
아마도요 잘,5
거기에 아무,5
아마추어 같은,5
아마추어 무선,5
아만다 베일러,5
아마추어처럼 왜,5
다 한 줄,5
