Item,Frequency
꽤 좋지,9
있어요 카메라,9
꽤 커요,9
있어요 하지만 제,9
있어요 한 명은,9
있어요 한 번,9
간이 배,9
말고요 그건,9
말고요 그,9
내 손수건,9
있어요 헤이,9
꽤 확신하는,9
있어줘서 고마워요,9
있었거든 그래,9
말고요 좋아요,9
간이 안,9
꽤 힘들,9
말과 총이,9
꽤나 오래,9
있었고 그걸,9
있었고 그녀는,9
있었고 근데,9
날 데려갔던,9
좋아하는지 몰라서,9
날 데려갈 거야,9
있었구나 뭐,9
있었구나 우리,9
꾸고 있었어,9
가서 함께,9
되긴 뭐가 안,9
그렇게 말해 봐,9
있었네요 네,9
꾸리고 싶어요,9
채기 전에,9
있었는데 그래,9
것 같은데 가는,9
있었는데 그렇게,9
것 같은데 가는 길에,9
있었는데 근데,9
말도 듣기,9
있었는데 말이에요,9
가서 해야,9
꾸며낸 게,9
말도 맞아요,9
말도 못 하겠어,9
꾸물거리지 마,9
말도 못 했어요,9
말도 별로,9
꾸물대지 말고 빨리,9
있었는지 말야,9
있었는지 말해줄 수,9
말도 안 돼 그럴,9
있었는지 모르지만,9
있었는지 몰랐어요,9
있었는지 아나,9
말도 안 돼 누가,9
있었는지 알아내야 해,9
있었는지 알잖아,9
있었는지 어떻게,9
있었는지 잘,9
채운 다음,9
있었는지도 몰라요,9
되길 바래요,9
꾸민 거,9
말도 안 돼 저,9
있었다 누가,9
있었다 다시,9
있었다 만약,9
있었다 어쩌면,9
말도 안 돼요 여기,9
날 도와주지 않으면,9
말도 안 돼요 전,9
왔어요 누가,9
계속 반복되는,9
있었다고 그럼,9
채취할 겁니다,9
있었다고 하네요,9
있었다고 하면,9
채팅 앱을,9
못 만난다고,9
게놈 지도를,9
있었다니 믿을 수가,9
자기 말고,9
있었다면 나도,9
말도 안 하려고,9
되네 燃えるほど灰になる 불타오를수록,9
게다가 그녀는,9
왔어요 엄마가,9
있었다면 정말,9
있었단 거예요,9
미안해 뭘,9
꾼 적 있어,9
말도 안되는 소리 하지마,9
되네 그리고,9
말도 안되는 소릴,9
있었던 걸지도,9
꿀 수 있는,9
꿀 좀,9
말도 없는데,9
책 정말,9
있었던 게 틀림없어,9
미안해 빨리,9
꿇고 손,9
왔어요 이건,9
있었던 모양인데,9
왔어요 잠깐만요,9
꿇어 꿇으라고,9
가석방 조건을,9
것 같은데 아냐,9
있었소 그,9
가석방 중인,9
왔어요 할,9
말도 하지 않아도,9
말도 하지 않았습니다,9
말도 하지 않을 것이다,9
있었어 괜찮아,9
있었어 그들이,9
말도하지 않았다,9
꿈 깨라고,9
간절히 원하면,9
있었어 그럴,9
보기만 해요,9
말든 난 상관없어,9
말든 내 알,9
말든 내 알 바,9
있었어 나랑,9
있었어 내일,9
말든 상관 안 해,9
말든 상관없지만,9
말든 우린,9
꿈 꿔요,9
것 같은데 여긴,9
있었어 둘이,9
있었어 마치,9
꿈 내가,9
왔을 때 나는,9
말뜻 알잖아요,9
되는 거 말이야,9
꿈 아니지,9
건 나라는,9
있었어 알았어,9
말라 하셨습니다,9
것 같은데 응,9
책은 왜,9
보기에 그,9
말라고 그렇게,9
있었어 이렇게,9
그렇게 먹어,9
꿈과 희망이,9
말라고 넌,9
한 짓인 것,9
있었어 제대로,9
있었어 죽은,9
말라고 말할,9
미안해 오빠,9
꿈꾸는 대로,9
있었어요 결국,9
있었어요 고마워요,9
말라고 알았어,9
것 같은데 저기,9
꿈꾸던 삶을,9
가세요 그냥,9
꿈꾼 적,9
왔잖아 우리,9
날 두 번이나,9
건 나밖에 없어,9
왔을 때 당신은,9
꿈꿔 잭,9
말라고 하잖아요,9
있었어요 만약,9
책에서 읽은,9
말라고 한 거야,9
꿈꿔왔던 모든,9
화장지 좀,9
말라고 했고,9
있었어요 알고,9
책을 잘,9
꿈도 꿀 수,9
책이 더,9
되는 거야 내,9
꿈도 못 꾸죠,9
말라고 했잖아 내가,9
있었어요 이름이,9
있었어요 저한테,9
시간 안에 그,9
왔지 그,9
있었어요 젠장,9
꿈도 없는,9
것 같은데요 그건,9
있었어요 첫,9
시간 안에 올,9
있었으니까 그,9
꿈만 꾸는,9
좋아한다 그리고,9
말런 스타일,9
꿈속에서 그,9
것 같은데요 그렇죠,9
있었을 거고요,9
책임감을 느낀다,9
피를 뽑는,9
말로 설명할 수,9
있었음 좋겠어,9
있었음에 틀림,9
있었잖아 그게,9
있었잖아 나,9
있었잖아 날,9
가세요 아니,9
말로 하면 안,9
있었잖아요 그래,9
것 같은데요 무슨,9
있었죠 그래요,9
있었죠 그렇게,9
말로는 내,9
책임을 지려고,9
말로는 누가,9
있었죠 또,9
있었죠 몇,9
있었죠 뭘,9
되는 거지 내가,9
말로는 아주,9
있었죠 우리는,9
가세요 안녕히 계세요,9
가세요 알았어,9
말로는 죽은,9
있었지 날,9
계속 사랑하고,9
말리지 않았어,9
한 편으로는,9
있었지 여기,9
말릴 순,9
왕국의 열쇠를,9
책임져야 돼,9
화학 물질도,9
있었지만 안,9
있었지만 잘,9
시간 오전,9
있으니 괜찮을,9
있으니 네,9
있으니 당신도,9
말만 해도,9
책임질 수 있어,9
책임질 순,9
있으니 아마,9
내 술에,9
미안해요 대체,9
있으니 우리도,9
있으니 조심해,9
있으니까 胸の中にあるから,9
있으니까 胸の中にあるから 가슴속에 있으니까,9
있으니까 胸の中にあるから 가슴속에,9
말썽 부리지,9
가세요 우린,9
왕욱의 웃음,9
있으니까 당신,9
있으니까 두,9
있으니까 아,9
있으니까 어디,9
말씀 드렸다시피,9
좋아할 사람은,9
있으니까 전,9
말씀 드리려고,9
가세요 자,9
있으니까요 그러니까,9
한 형사님,9
있으니까요 난,9
있으니까요 내가,9
챙겨 주셔서,9
되는 것 같지,9
말씀 들었죠,9
있으며 모든,9
좋아할 줄 알았는데요,9
것 같지가 않아요,9
말씀 안 해,9
꿈을 많이,9
챙기는 거죠,9
미안해요 오늘은,9
꿈을 위해서,9
있으면 눈,9
있으면 당연히,9
말씀 좀 묻겠습니다,9
그렇게 믿고 싶은,9
미안해요 왜요,9
있으면 되네,9
꿈을 이뤄줄,9
말씀대로 모든,9
처녀 적,9
말씀대로 해,9
가세요 하지만,9
자기 아직,9
있으면 안 되니까,9
것 같지만 사실은,9
있으면 안되는,9
말씀드리는 거에요,9
자기 앞에,9
말씀드리는 건데,9
처럼 보이다,9
처럼 보이지,9
있으면 어쩔,9
있으면 얼마나 좋을까,9
있으면 올,9
있으면 우리는,9
말씀드릴 건,9
있으면 좋겠죠,9
말씀드릴 수는,9
되는 게 어딨어,9
있으면 좋은데,9
있으면 지금 말해,9
말씀만 더,9
있으면 해 봐,9
처리하고 있다고,9
있으므로 진술을,9
있으므로 진술을 거부합니다,9
시간 주겠다,9
꿈이 이뤄진 것,9
처리하는 거,9
그렇게 바로,9
말씀은 잘,9
왕족을 위해,9
있으실 것,9
말씀을 드려야겠네요,9
말씀을 드리고 싶었어요,9
말씀을 드리는,9
있을 거 같군요,9
꿈이 있었지,9
말씀을 드릴,9
있을 거 같아서요,9
있을 거 같았어,9
미앙 낭자,9
있을 거니까요,9
말씀을 전할,9
말씀을 하셔도,9
말씀을 하셨어요,9
있을 거라고 생각하지,9
말씀을 하시는 겁니까,9
처리할 수 있죠,9
있을 거라면,9
말씀이 맞네요,9
있을 거란다,9
있을 거랍니다,9
있을 거랬는데,9
있을 거야 거기,9
있을 거야 계속,9
처리하고 싶어,9
말씀이 옳아,9
있을 거야 그들이,9
꿈쩍도 하지,9
말씀이 있으면,9
말씀이신지 모르겠습니다,9
있을 거야 다시,9
꿍꿍이가 있는 것,9
있을 거야 분명,9
있을 거야 아주,9
있을 거야 아직,9
말씀하세요 이,9
말씀하세요 전,9
말씀하셔도 됩니다,9
보내고 계신가요,9
말씀하시면 됩니다,9
가속하고 있어 まだ加速しているよ,9
가속하고 있어 まだ加速しているよ 아직,9
건 내 알,9
되는 돈이,9
꿰뚫어 볼 수,9
왜 가지고 있어,9
가수 겸,9
있을 거예요 알았어요,9
있을 거예요 왜,9
있을 거예요 이게,9
있을 거예요 좋아,9
처음 내,9
있을 겁니다 그래서,9
날 말야,9
있을 겁니다 내,9
뀐 놈이,9
있을 겁니다 이건,9
것 나를,9
끄는 것도,9
말아야 할 이유가,9
있을 것 같지는,9
있을 것 같진 않아,9
되는 사람 중,9
있을 것이다 하지만,9
있을 것이라,9
끄면 안 돼요,9
미쳐가고 있다고,9
말아요 계속,9
있을 것처럼,9
말아요 그게,9
것 내게,9
말아요 그렇게,9
있을 곳이에요,9
것 너도,9
처음 들어왔을 때,9
있을 기회가,9
한눈팔면 안,9
시간 충분해,9
말아요 너무,9
있을 때 넌,9
있을 때 몇,9
말아요 두,9
있을 때 이걸,9
갇혀 살게,9
말아요 아니,9
왜 거짓말을 했죠,9
그렇게 보이는데,9
있을 때까지는,9
있을 때만요,9
있을 때였어요,9
좋아했다는 걸,9
말아요 이런,9
있을 땐 안,9
말아요 이미,9
처음 먹어봐요,9
있을 만큼요,9
말아요 제발요,9
끊긴 거,9
끊긴 것,9
있을 수 없는 일이다,9
시간도 없고요,9
왜 결혼한,9
있을 수 있단,9
있을 수 있었다,9
있을 수 있었는데,9
말았으면 해요,9
것 도,9
말야 거기에,9
말야 고마워,9
끊어 이,9
있을 수도 있으니까요,9
말야 그래도,9
있을 수만 있다면,9
있을 수만은 없어,9
왜 공격해,9
말야 그럴,9
있을 시간이 없어,9
말야 그의,9
말야 그치만,9
말야 글쎄,9
있을 정도는,9
끊어요 안녕,9
미쳤을 거야,9
말야 다,9
있을 줄은 몰랐는데,9
말야 당신을,9
말야 또,9
끊어진 것,9
법 난,9
있을 텐데 그,9
계속 싸울 수,9
말야 바로,9
있을 확률은,9
끊었을 때,9
말야 아마,9
있을거라 생각하나,9
있을거야 그게,9
말야 알았어요,9
있을거야 나도,9
있을거야 날,9
끊은 거예요,9
좋아해서 그래,9
말야 어서,9
있을거야 아니,9
끊은 것,9
처음 알았을,9
있을것 같습니다,9
있을것 같은데요,9
있을게 저,9
날 못 건드려,9
보내는 건가,9
말야 자,9
있을지 궁금하네,9
있을지 궁금해,9
끊이질 않아,9
있을지 모른다는,9
말에 대답만,9
있을지 알 수,9
처음 해봐요,9
왜 그놈이,9
있을지는 몰라도,9
보내는 건 어때,9
처음 죽인,9
말에 일리가 있어,9
것 말인가요,9
말에 책임을,9
끌 수 있다,9
날 못 알아보는,9
있음을 안다,9
내가 어떻게 그를,9
처음부터 모든,9
한다 제가,9
있잖아 게다가,9
말은 그거야,9
있잖아 그는,9
끌고 가게,9
있잖아 그만,9
말은 그녀는,9
말은 그래,9
있잖아 늘,9
있잖아 당신도,9
있잖아 딱,9
끌고 간다,9
말은 나를,9
있잖아 맙소사,9
말은 나중에,9
있잖아 뭐야,9
끌고 갔고,9
말은 너희,9
끌고 갔는데,9
있잖아 아까,9
있잖아 아마,9
있잖아 안돼,9
말은 다르던데,9
것 밖에 없어,9
있잖아 우리도,9
말은 도움이,9
처음에는 그저,9
건 내겐,9
것 밖에는,9
말은 듣지도 않고,9
미친 듯한,9
한다고 무슨,9
되는데 그래서,9
있잖아요 너무,9
날 문득,9
있잖아요 더,9
미친 사람들을,9
있잖아요 미안해요,9
말은 법정에서 불리하게 작용할,9
말은 사실이,9
있잖아요 이게,9
있잖아요 이렇게,9
것 빼고는요,9
말은 아니겠지,9
끌리는 거,9
끌리지 않아,9
가슴 아프다,9
말은 안 하는,9
있죠 네가,9
것 뿐이네,9
말은 안 하지만,9
말은 안 해요,9
있죠 도움이,9
것 뿐이라고요,9
끌어 내,9
말은 안했어요,9
말은 알겠는데,9
계속 얘기했어,9
있죠 벌써,9
말은 없나,9
처음일 것,9
한다고 우리,9
처지는 아니잖아,9
있죠 세상에,9
미친 왕의,9
끌어내 봐,9
처지에 있는,9
있죠 안 그래요,9
미친 자식아,9
놈들이 저,9
말은 이거예요,9
있죠 예를 들어,9
날 미친놈으로,9
말은 잊어,9
한다고 하던데,9
왜 그런 일이 일어났는지,9
말은 전혀 안,9
말은 절대 하지,9
끌어들여야 해,9
말은 취소할게,9
왜 그런 표정을,9
있지 가서,9
말은 필요 없어,9
말은 하고 싶지 않지만,9
말은 하기 싫지만,9
