Item,Frequency
그는 그럴 자격이,9
달걀 껍데기,9
달걀 찾기,9
안녕하세요 아직,9
안녕하세요 어떤,9
안녕하세요 어떻게 지내요,9
안녕하세요 어머니,9
안녕하세요 예,9
그는 그리스,9
안녕하세요 음,9
안녕하세요 이것,9
달그락 소리가 들린다,9
달그락 연다,9
달그락 집어 든다,9
안녕하세요 저도,9
달그락거리는 소리가 난다,9
안녕하세요 전 닥터,9
안녕하세요 전화,9
나는 누구에게도,9
안녕하세요 제임스,9
안녕하세요 좋아요,9
그는 기회가,9
거야 가게,9
달든 씨,9
저희가 알고,9
달라 그러니까,9
달라 그런,9
달라 나도,9
달라 날,9
달라 너,9
그는 나,9
안녕히 계세요 안녕히 계세요,9
달라 다른,9
거야 이것이,9
달라 더,9
안다 그럼,9
안다 당신은,9
거야 가만히 있어,9
안다고 그,9
나는 뉴욕,9
안다고 근데,9
저희는 당신의,9
거야 가방,9
안다고 생각하는데,9
안다고 왜,9
안다는 사실을,9
가장 비참한,9
안다면 왜,9
그는 나의 가장 친한,9
함께 지내면서,9
안달이 났어요,9
달라고 온,9
저희도 어쩔,9
안돼 그러니까,9
안돼 근데,9
그는 내 거야,9
안돼 내 말,9
안돼 니가,9
그는 내 아들이야,9
안돼 말도,9
안돼 맙소사,9
달라고 할까 봐,9
거야 가진,9
안돼 알았지,9
달라고 했다고,9
안돼 이봐,9
안돼 좋은,9
안돼 할,9
안돼요 넌,9
달라는 게 아니라,9
안돼요 당신,9
달라는 부탁을,9
그는 너에,9
켄 크래츠 특별검사 캘러멧,9
먹고 떨어져,9
달라요 그건,9
그는 너희,9
달라요 내,9
안됐어요 하지만,9
안되고 있어,9
넌 내 아들이고,9
안되는 거였어요,9
안되는 소리 하지마,9
달라요 저는,9
안된 건,9
안될 거예요,9
안될 것 같습니다,9
안될 것 같아서,9
적 없어 이런,9
켈리 스티븐의 인권,9
거야 개인적으로,9
박수민 자막 제공,9
달라진 건 없어요,9
거야 개자식,9
달라진 게 없어,9
달라진 게 없어요,9
적 없어요 전,9
안보에 관한,9
안부 전하고,9
달라질 것 같아,9
달라질 수 있습니다,9
안비스 님이,9
안색이 너무 안,9
적 없으면서,9
안색이 영,9
함께 지내면,9
안심이 되는군요,9
거야 거기엔,9
안아 보고,9
달래는 건,9
안아 볼래요,9
혼자 죽진,9
달러 가지고,9
안아봐도 돼요,9
그는 대답하지,9
켜져 있었어요,9
먹고 싶지만,9
그는 더러운,9
안에 그래,9
달러 내면,9
거야 걱정은,9
안에 넣는,9
달러 드리죠,9
그는 돈이,9
안에 누가 있는,9
안에 누가 있어요,9
안에 닫힙니다,9
거야 걱정할 거,9
안에 당신이,9
달러 벌,9
안에 도착해요,9
달러 빚진,9
안에 돌아올게,9
적과 싸울,9
적극적이었지만 이제,9
적극적이었지만 이제 더는 그렇지,9
그 두 배를,9
달러 이상은,9
안에 들어올,9
달러 이하로,9
먹고 있는지,9
달러 정도는,9
달러 정도야,9
달러 정도예요,9
그는 떠나가고 없겠죠,9
안에 뭐가 있는데,9
안에 뭐가 있든,9
안에 뭐가 있는지 알아,9
안에 뭐가 있을지,9
달러 준다고,9
코 골며,9
안에 살고 있는,9
그는 런던에,9
적당한 곳을,9
안에 숨어서,9
달러 한,9
어떤 얘길,9
안에 쑤셔,9
거야 경위님,9
거야 경찰에게,9
안에 없어요,9
안에 여기서,9
그는 만나고,9
안에 올 거야,9
달러가 있어요,9
달러가 조금,9
가장 사랑했던,9
거야 경찰한테,9
안에 있는 것을,9
거야 계속해,9
안에 있는 한,9
