Item,Frequency
"학부모 모임 있어요",5
"병수의 환호성",5
"내 일을 잘한다",5
"혼자 또 한켠에 서서",5
"학부모들 말이야 방금 통화했잖아",5
"학부모들 말이야 방금",5
"혼자 마셔요",5
"학부모의 밤",5
"학부모들 말이야",5
"학생 비자가",5
"학살할 겁니다",5
"내 일을 하고 있어",5
"골프를 칠",5
"학생 수는",5
"혼자 말이야",5
"학생 안녕하세요",5
"학생 식당에서",5
"학생 세",5
"학생 어디",5
"학생 앞에서",5
"학생 인권 보장하라",5
"학생 인권",5
"병실이 어디죠",5
"병실에 있는",5
"곪아터진 아보카도랑",5
"학생 중에서",5
"병에 걸렸다",5
"병에 걸렸는데",5
"곪아터진 아보카도랑 떡친",5
"내 일을 한 거야",5
"학생들에게 보여줬어요",5
"학생들에게 보여줬어요 달 착륙에",5
"학생들에게 보여줬어요 달",5
"내 일을 한 것뿐이야",5
"곪아터진 아보카도랑 떡친 아보카도처럼",5
"감정을 조절할",5
"감정을 전혀",5
"pick up the TARDIS",5
"pick up that",5
"pick up my",5
"학생들은 다",5
"학생들의 기합",5
"병에 걸리거나",5
"학생들의 발소리",5
"병에 걸렸죠",5
"학생들의 의아한 신음",5
"학생들의 의아한",5
"학생들의 즐거운 목소리",5
"병에 넣고",5
"병에 걸린 게",5
"학생들이 시끌벅적하다",5
"학생들이 수업을",5
"학생들이 수군거린다",5
"내 일을 해야 해",5
"내 일을 할 거야",5
"학생들이 이",5
"학생들이 우리",5
"학생들이 정말",5
"학생에 대한",5
"학생들이 즐겁게",5
"병에 뭐가",5
"병에 든 거",5
"학생이 몇",5
"학생이 남아공",5
"학생이 아니야",5
"병에 접근할",5
"병에 있는",5
"학생이 한",5
"학생이 아닌",5
"학생이었을 때",5
"병에서 나온",5
"내 일이 그래",5
"내 일을 했을 뿐이야",5
"학생회장 선거에",5
"학생일 때",5
"학습 계획을",5
"병용의 신음",5
"학위가 있고",5
"학위도 있어요",5
"병원 CCTV",5
"내 일이 아니라고",5
"곰 때문에",5
"곰 덫을",5
"학위를 받았다",5
"학위를 받았고",5
"학자에 따르면",5
