Item,Frequency
"서있지만 말고",7
"서장님 말씀이",7
"서장님 이",7
"널 좋아했는데",7
"널 좋아했던",7
"서장님이 왜",7
"널 좋은",7
"서정은 씨",7
"서재에 있어",7
"서준의 웃음",7
"널 죽여 버리겠어",7
"서질 않아",7
"그 사람은 항상",7
"널 죽여도",7
"서쪽에 있어요",7
"널 죽여서",7
"그 사람을 더",7
"서커스 공연",7
"널 죽여주마",7
"the blackness",7
"널 죽여주지",7
"널 죽였는데",7
"같이 떨어질",7
"서트클리프 박사의",7
"널 죽였어야 했어",7
"석 달밖에",7
"석 달에",7
"석 달이",7
"그 사람을 사랑하는",7
"그 사람을 사랑하지",7
"석 잔 주세요",7
"그 사람을 사랑해",7
"석달 전",7
"그 사람을 안",7
"그 사람을 알 수",7
"그 사람을 알아",7
"석연치 않은",7
"석유 시추",7
"있던 놈이",7
"석진이 형",7
"널 죽이러 왔어",7
"널 죽이려 들",7
"섞는 게",7
"널 죽이려 할",7
"섞어놔서 전부",7
"섞어놔서 전부 다시 쳐야",7
"같이 마시자고",7
"그 사람을 좋아하잖아요",7
"섞여 있을",7
"섞여야 해",7
"섞은 거죠",7
"그 사람을 죽인",7
"carrying my",7
"그 사람을 죽일",7
"섞인 게",7
"섞인 드문 조합이죠",7
"섞인 드문",7
"같이 마실까",7
"그 사람을 찾아서",7
"그 사람을 한번도",7
"섞지 말라고",7
"그 사람을 한번도 본",7
"선 걸",7
"선 건",7
"선 넘지",7
"선 지켜",7
"선 좀",7
"선거 결과는",7
"선거 결과가",7
"선거 본부",7
"선거 사무장",7
"널 죽일 수도 있었어",7
"널 죽일 순",7
"그 사람의 진짜",7
"the body of",7
"널 죽일거다",7
"선거 조작",7
"같이 만날",7
"선거 캠페인",7
"선거 출마를",7
"선거 캠프에서",7
"널 죽일꺼야",7
"그 사람이 그걸",7
"선거를 앞두고",7
"선거를 위해",7
"그 사람이 그랬어",7
"널 지구로",7
"선거에서 지고",7
"선거에서 질",7
