"File","DataRows"
"Korean Ngram list_part_0001.csv","10000"
"Korean Ngram list_part_0002.csv","10000"
"Korean Ngram list_part_0003.csv","10000"
"Korean Ngram list_part_0004.csv","10000"
"Korean Ngram list_part_0005.csv","10000"
"Korean Ngram list_part_0006.csv","10000"
"Korean Ngram list_part_0007.csv","10000"
"Korean Ngram list_part_0008.csv","10000"
"Korean Ngram list_part_0009.csv","10000"
"Korean Ngram list_part_0010.csv","10000"
"Korean Ngram list_part_0011.csv","10000"
"Korean Ngram list_part_0012.csv","10000"
"Korean Ngram list_part_0013.csv","10000"
"Korean Ngram list_part_0014.csv","10000"
"Korean Ngram list_part_0015.csv","10000"
"Korean Ngram list_part_0016.csv","10000"
"Korean Ngram list_part_0017.csv","10000"
"Korean Ngram list_part_0018.csv","10000"
"Korean Ngram list_part_0019.csv","10000"
"Korean Ngram list_part_0020.csv","10000"
"Korean Ngram list_part_0021.csv","10000"
"Korean Ngram list_part_0022.csv","10000"
"Korean Ngram list_part_0023.csv","10000"
"Korean Ngram list_part_0024.csv","10000"
"Korean Ngram list_part_0025.csv","10000"
"Korean Ngram list_part_0026.csv","10000"
"Korean Ngram list_part_0027.csv","10000"
"Korean Ngram list_part_0028.csv","10000"
"Korean Ngram list_part_0029.csv","10000"
"Korean Ngram list_part_0030.csv","10000"
"Korean Ngram list_part_0031.csv","10000"
"Korean Ngram list_part_0032.csv","10000"
"Korean Ngram list_part_0033.csv","10000"
"Korean Ngram list_part_0034.csv","10000"
"Korean Ngram list_part_0035.csv","10000"
"Korean Ngram list_part_0036.csv","10000"
"Korean Ngram list_part_0037.csv","10000"
"Korean Ngram list_part_0038.csv","10000"
"Korean Ngram list_part_0039.csv","10000"
"Korean Ngram list_part_0040.csv","10000"
"Korean Ngram list_part_0041.csv","10000"
"Korean Ngram list_part_0042.csv","10000"
"Korean Ngram list_part_0043.csv","10000"
"Korean Ngram list_part_0044.csv","10000"
"Korean Ngram list_part_0045.csv","10000"
"Korean Ngram list_part_0046.csv","10000"
"Korean Ngram list_part_0047.csv","10000"
"Korean Ngram list_part_0048.csv","10000"
"Korean Ngram list_part_0049.csv","10000"
"Korean Ngram list_part_0050.csv","10000"
"Korean Ngram list_part_0051.csv","10000"
"Korean Ngram list_part_0052.csv","10000"
"Korean Ngram list_part_0053.csv","10000"
"Korean Ngram list_part_0054.csv","10000"
"Korean Ngram list_part_0055.csv","10000"
"Korean Ngram list_part_0056.csv","10000"
"Korean Ngram list_part_0057.csv","10000"
"Korean Ngram list_part_0058.csv","10000"
"Korean Ngram list_part_0059.csv","10000"
"Korean Ngram list_part_0060.csv","10000"
"Korean Ngram list_part_0061.csv","10000"
"Korean Ngram list_part_0062.csv","10000"
"Korean Ngram list_part_0063.csv","10000"
"Korean Ngram list_part_0064.csv","10000"
"Korean Ngram list_part_0065.csv","10000"
"Korean Ngram list_part_0066.csv","10000"
"Korean Ngram list_part_0067.csv","10000"
"Korean Ngram list_part_0068.csv","10000"
"Korean Ngram list_part_0069.csv","10000"
"Korean Ngram list_part_0070.csv","10000"
"Korean Ngram list_part_0071.csv","10000"
"Korean Ngram list_part_0072.csv","10000"
"Korean Ngram list_part_0073.csv","10000"
"Korean Ngram list_part_0074.csv","10000"
"Korean Ngram list_part_0075.csv","10000"
"Korean Ngram list_part_0076.csv","10000"
"Korean Ngram list_part_0077.csv","10000"
"Korean Ngram list_part_0078.csv","10000"
"Korean Ngram list_part_0079.csv","10000"
"Korean Ngram list_part_0080.csv","10000"
"Korean Ngram list_part_0081.csv","10000"
"Korean Ngram list_part_0082.csv","10000"
"Korean Ngram list_part_0083.csv","10000"
"Korean Ngram list_part_0084.csv","10000"
"Korean Ngram list_part_0085.csv","10000"
"Korean Ngram list_part_0086.csv","10000"
"Korean Ngram list_part_0087.csv","10000"
"Korean Ngram list_part_0088.csv","10000"
"Korean Ngram list_part_0089.csv","10000"
"Korean Ngram list_part_0090.csv","10000"
"Korean Ngram list_part_0091.csv","10000"
"Korean Ngram list_part_0092.csv","10000"
"Korean Ngram list_part_0093.csv","10000"
"Korean Ngram list_part_0094.csv","10000"
"Korean Ngram list_part_0095.csv","10000"
"Korean Ngram list_part_0096.csv","10000"
"Korean Ngram list_part_0097.csv","10000"
"Korean Ngram list_part_0098.csv","10000"
"Korean Ngram list_part_0099.csv","10000"
"Korean Ngram list_part_0100.csv","10000"
"Korean Ngram list_part_0101.csv","10000"
"Korean Ngram list_part_0102.csv","10000"
"Korean Ngram list_part_0103.csv","10000"
"Korean Ngram list_part_0104.csv","10000"
"Korean Ngram list_part_0105.csv","10000"
"Korean Ngram list_part_0106.csv","10000"
"Korean Ngram list_part_0107.csv","10000"
"Korean Ngram list_part_0108.csv","295"
