Item,Frequency
"못 대게 해요",6
"못 대는",6
"못 대요",6
"나은 삶을 찾기 위해",6
"못 던져",6
"나은 삶의",6
"좋아요 누구랑",6
"mind 내",6
"못 데려갑니다",6
"좋아요 당신들이",6
"못 도망쳐",6
"좋아요 도움이",6
"좋아요 돈은",6
"좋아요 됐네요",6
"나은 세상으로",6
"게 한 두",6
"못 돌려",6
"가지 가능성이 있어요",6
"좋아요 맞아",6
"못 돌아간다고",6
"피가 나면",6
"못 돌아가고",6
"좋아요 뭐 하는",6
"좋아요 밖에서",6
"나은 여자를",6
"좋아요 보고",6
"좋아요 북부의",6
"못 돌아올지도",6
"못 돌아옵니다",6
"나은 이름을 생각해",6
"나은 이름을 생각해 내야합니다",6
"게 할",6
"좋아요 손",6
"가지 가자",6
"좋아요 시작합시다",6
"좋아요 신호",6
"못 돼''",6
"좋아요 아무튼",6
"못 됐고",6
"좋아요 안 돼요",6
"게 핵심이죠",6
"했는데 덕분에",6
"못 됐을 거야",6
"게 핵심이지",6
"좋아요 야",6
"나은 쪽으로",6
"못 되겠다",6
"못 되겠지만",6
"minute with",6
"우유리 지난 이야기",6
"좋아요 얼마",6
"가지 거짓말을",6
"좋아요 엄마는",6
"못 되니",6
"못 되는데",6
"좋아요 여보",6
"좋아요 예",6
"못 되돌려",6
"좋아요 완벽한",6
"좋아요 요즘",6
"가지 걸리는 게",6
"좋아요 우릴",6
"좋아요 원하는",6
"좋아요 이것",6
"나을 거라고 했어요",6
"못 될 것",6
"좋아요 이름은",6
"좋아요 이렇게 하죠",6
"게 현명한 거야",6
"못 드려 죄송합니다",6
"좋아요 이쪽으로",6
"좋아요 일어나",6
"게 현명할 것",6
"좋아요 일을",6
"못 드렸습니다",6
"좋아요 잘 자요",6
"나을 것 같군",6
"Leave it",6
"가지 검사를 시행",6
"못 드리는 거",6
"좋아요 저런",6
"좋아요 절대",6
"못 듣거든요",6
"좋아요 정말요",6
"좋아요 정말로",6
"못 듣겠지",6
"좋아요 조금",6
"게 화가 나서",6
"minutes and",6
"게 확실하냐",6
"가지 검사를 시행 할",6
"못 들게 해",6
"못 들게 하는",6
"못 들겠어요",6
"좋아요 진정하세요",6
"좋아요 충분히",6
"가지 검사만",6
"좋아요 케빈",6
"나을 게 없죠",6
"못 들어 주겠어",6
"가지 것들을",6
"좋아요 해",6
"좋아요 항상",6
"좋아요 행운을",6
"좋아요 훌륭해요",6
"좋아졌으면 해",6
"좋아졌어요 그",6
"좋아지고 있잖아",6
"못 들어간다",6
"좋아지실 겁니다",6
"좋아지실 거예요",6
"좋아지려고 해",6
"좋아진 게",6
"못 들어갔어요",6
"좋아질 것 같아",6
"좋아질 것이다",6
"나을 지도",6
"못 들어오게 막아",6
"좋아하거든 내가",6
"좋아하거든 유론 그레이조이의",6
"좋아하거든요 그래요",6
"좋아하거든 유론 그레이조이의 함대를",6
"좋아하거든 유론",6
"좋아하건 말건",6
"게 확실해지면",6
"좋아하게 됐죠",6
"못 들어오고",6
"게 확인됐어",6
"좋아하게 된 것",6
"나을지도 모르겠네요",6
"못 들어옵니다",6
"못 들어와서",6
"좋아하겠지 알아",6
"좋아하고 그리고",6
"좋아하게 만들어",6
"좋아하고 난",6
"못 들어주겠군",6
"나을텐데 존 스노우",6
"좋아하기도 하고요",6
"좋아하긴 했지",6
"am not the",6
"나을텐데 존 스노우 얼마나",6
"나을텐데 존",6
"게 후회되는구만",6
"나의 가장 좋은",6
"좋아하는 거 맞지",6
"좋아하는 거 아냐",6
"좋아하는 거 모르지",6
"좋아하는 거 알아요",6
"좋아하는 거 알고",6
"게 후회되는구만 댁도",6
"게 후회되는구만 댁도 그럴거요",6
"좋아하는 거면",6
"나의 것 강적을",6
"좋아하는 건 알아",6
"좋아하는 건 어떻게",6
"나의 것 강적을 무찔러라",6
"좋아하는 겁니다",6
"좋아하는 것 같더라",6
"좋아하는 것 같진",6
"게 흐릿해요",6
"좋아하는 것과",6
"못 들여",6
"좋아하는 것들을",6
"나의 곁에",6
"못 들으니까",6
"나의 것이었다",6
"못 들으셨나 봐요",6
"좋아하는 것입니다",6
"좋아하는 게 그렇게",6
"못 들으셨죠",6
"나의 관계",6
"좋아하는 곳으로",6
"좋아하는 곳이지",6
"게 힘드네",6
"좋아하는 꽃은",6
"Leave me",6
"좋아하는 네",6
"좋아하는 노래가",6
"피곤해서 말이야",6
"못 들은 걸로 해요",6
"좋아하는 동물은",6
"나의 기도는",6
"피나 콜라다",6
"못 들은 지",6
"못 들은 척하지",6
"좋아하는 모든 걸",6
"나의 그런",6
"못 들은거야",6
"가지 그래서",6
"못 들을 겁니다",6
"좋아하는 사람들과",6
"나의 깊은",6
"좋아하는 사람은 아무도",6
"좋아하는 사람의",6
"못 따는",6
"좋아하는 사람이 생겼어",6
"좋아하는 새",6
"좋아하는 사진이에요",6
"좋아하는 색이에요",6
"게 힘들면 피엘",6
"좋아하는 여자는",6
"못 딸",6
"좋아하는 여자애",6
"못 땄어",6
"게 힘들면 피엘 그룹을",6
"나의 대실연",6
"좋아하는 영화죠",6
