Item,Frequency
"있는지 압니다",20
"때 전화해",20
"미안하네 자네 인생도 끝이구만",20
"원했던 대로",20
"생각이 드는지",20
"어디로 갑니까",20
"생각이 많은",20
"생각이 뭔지",20
"꺼내 자네의",20
"빼내려고 말이야",20
"있는지는 몰라도",20
"같은데 한",20
"안 쓰셔도 돼요",20
"he even",20
"넌 왜 항상",20
"너 없인 아무것도 못할거야",20
"월 마리아를",20
"문 잠그는",20
"있다 갈게",20
"얘기는 한 번도",20
"일 보러",20
"생각하게 된",20
"생각하게 이번",20
"생각하게 이번 역은 브로드",20
"생각하겠냐고 응",20
"another way",20
"그리고 스스로",20
"그 목걸이를",20
"진짜로 궁금한건",20
"몇 건이나",20
"사람들이 가져다",20
"넌 이짓 중독이야 복수말이야",20
"있다 너무",20
"사람들이 가지고",20
"고치면 알려줘 알았어 크리스마스",20
"많은 대화를",20
"사람들이 그러는데",20
"거 우린",20
"가지 지옥으로의 여정은 여기서",20
"걱정 마 잘",20
"있다 아이가",20
"어떤새끼가 그런짓을 할수있어",20
"괜찮을 줄 알았는데",20
"같을 수",20
"느껴 봐요",20
"안 둘 줄",20
"하나 사서",20
"보고 배워요",20
"생각한다면 그건",20
"기억나지도 않는군 그리고 내가",20
"생각할 겨를이",20
"생각할 시간은",20
"생각할수도 있는거 알아 하지만",20
"하지만 확실히 아는",20
"같이 가고 싶어요",20
"묻겠네 자네",20
"사람들이 막",20
"그 밑에는",20
"좀 필요한 것",20
"순순히 저",20
"같이 가길",20
"하나 보죠",20
"같아서 이",20
"만 한",20
"동전 던지기로",20
"부인 정말",20
"그 반대의",20
"도착 전에",20
"있다고 나",20
"내가 괴물이",20
"자아의 모습을",20
"기다리는거야 이리와",20
"이상하단 말이야",20
"전 가야 해요",20
"죽일 때마다",20
"생각해요 내",20
"있다고 말할 수",20
"그 방에 있는",20
"않게 할게요",20
"사람들이 서로를",20
"저래라 하지",20
"많은 시간을 보내고",20
"바치는 꼴이",20
"생각했어 그래",20
"생각했어 죽음에서부터",20
"안토니오를 죽이지 않았으니 말이지",20
"너 이번에",20
"상처 받은",20
"널 노리는",20
"난 점점",20
"마음대로 하는",20
"인생을 송두리째",20
"들어본 적 있는 이야기입니다",20
"곳에 대해서",20
"사람들이 있거든요",20
"있다고 했고",20
"보안 시스템은",20
"사람들이 있었다",20
"구하러 가야",20
"들어본 적은",20
"전 그걸 받을 권리가",20
"가능하시다면 자아에 대한 깊은",20
"나는 못도와줘",20
"널 만나게",20
"맛있게 먹고",20
"생명을 구해",20
"않고 왜",20
"잘했네 잘했어 뭐하는건가",20
"그리고 아는줄은 모르겠는데 유리창도",20
"말하지마 생각하지마",20
"않군요 본인이 무슨일을 하셨는지",20
"사람들이 죽을 거야",20
"널 믿으라고",20
"같아요 잠깐",20
"않기로 했잖아요",20
"자네는 나에게 이걸",20
"무슨 생각요",20
"거야 평범한",20
"죽게 됩니다",20
"무슨 생각으로 그런건가 산티노",20
"것 같아 그녀는",20
"있다는 뜻은",20
"가장 오랜",20
"아주 깊이",20
"그는 이미 돌아와",20
"가변배율 조준경에 이것이 현대",20
"안전한 장소가",20
"대가는 너도 잘",20
"같이 나가는",20
"인정 많은",20
"있다니 믿을 수가",20
"겁니다 미안하지만",20
"난 견딜",20
"일주일 이상",20
"언제인지 기억나지도",20
"형에 대한",20
"나와 가깝던 사람을 죽였어",20
"가장 아름답고",20
"많이 그리고",20
"그 사람 맞아",20
"서두를 거 없어",20
"안전한 통로가 있네 차가",20
"학교 다니고",20
"답을 찾는",20
