Item,Frequency,IPA
고개를 끄덕였다,57,gogaeleul kkeudeog-yeossda
수 없었다,57,su eobs-eossda
할 수,57,hal su
것 같았다,47,geos gat-assda
두 사람은,41,du salam-eun
더 이상,38,deo isang
하지 않았다,34,haji anh-assda
수 있었다,34,su iss-eossda
수 있는,34,su issneun
신 목사가,34,sin mogsaga
두 사람이,32,du salam-i
한 번도,27,han beondo
아무 말도,26,amu maldo
유 목사가,24,yu mogsaga
수 없는,23,su eobsneun
적이 없었다,23,jeog-i eobs-eossda
선자가 말했다,22,seonjaga malhaessda
알 수,22,al su
있 었다,22,iss eossda
이삭이 말했다,20,isag-i malhaessda
선자가 고개를,20,seonjaga gogaeleul
말도 하지,20,maldo haji
아무 말도 하지,20,amu maldo haji
수 있을,19,su iss-eul
신 목사는,19,sin mogsaneun
고개를 저었다,19,gogaeleul jeo-eossda
있었 다,19,iss-eoss da
전당포 주인이,18,jeondangpo ju-in-i
두 사람,17,du salam
소리 내어,17,soli nae-eo
말도 하지 않았다,16,maldo haji anh-assda
전 씨가,16,jeon ssiga
두 사람을,16,du salam-eul
유 목사는,16,yu mogsaneun
아무 말도 하지 않았다,16,amu maldo haji anh-assda
한수가 선자의,15,hansuga seonja-ui
않았 다,15,anh-ass da
숙여 인사했다,14,sug-yeo insahaessda
수 있어,14,su iss-eo
안 돼,14,an dwae
해야 할지,14,hae-ya halji
나이 든,13,na-i deun
훈이 어머니는,13,hun-i eomeonineun
선자는 한수가,13,seonjaneun hansuga
할 수 없었다,13,hal su eobs-eossda
어렸을 때,13,eolyeoss-eul ttae
수 없어,13,su eobs-eo
다음 날,13,da-eum nal
살 수,13,sal su
소리 내어 웃었다,12,soli nae-eo us-eossda
년 전에,12,nyeon jeon-e
한수가 선자를,12,hansuga seonjaleul
두 손으로,12,du son-eulo
선자는 한수의,12,seonjaneun hansu-ui
내어 웃었다,12,nae-eo us-eossda
구할 수,12,guhal su
말했 다,12,malhaess da
선자가 고개를 끄덕였다,12,seonjaga gogaeleul kkeudeog-yeossda
안 되는,12,an doeneun
조 씨가,12,jo ssiga
웃으며 말했다,12,us-eumyeo malhaessda
무슨 일이,11,museun il-i
싶어 하는,11,sip-eo haneun
두 손을,11,du son-eul
이삭이 물었다,11,isag-i mul-eossda
알고 있었다,11,algo iss-eossda
두 사람의,11,du salam-ui
수 있어요,11,su iss-eo-yo
말 했다,11,mal haessda
신경 쓰지,11,singyeong sseuji
갈 수,11,gal su
경희가 말했다,11,gyeonghuiga malhaessda
그 사람이,11,geu salam-i
할 수 있는,11,hal su issneun
미소 지었다,10,miso ji-eossda
수 있다고,10,su issdago
수 없을,10,su eobs-eul
수 있다면,10,su issdamyeon
알 수 없었다,10,al su eobs-eossda
선자가 물었다,10,seonjaga mul-eossda
요셉이 말했다,10,yoseb-i malhaessda
될 수,10,doel su
수 있,10,su iss
무슨 말을,9,museun mal-eul
없었 다,9,eobs-eoss da
수 있게,9,su issge
고개를 숙여,9,gogaeleul sug-yeo
둘 다,9,dul da
서 있는,9,seo issneun
선자 는,9,seonja neun
싶지 않았다,9,sipji anh-assda
먹을 수,9,meog-eul su
그 사람은,9,geu salam-eun
볼 수,9,bol su
않을 거야,9,anh-eul geo-ya
한수는 선자의,8,hansuneun seonja-ui
