Item,Frequency
",",49794
"""",34354
"的",29804
"。",29494
"了",17003
"他",14245
"一",10998
"哈利",8936
"是",8682
"说",8200
"在",8110
"我",7896
"不",7608
"着",7239
"地",6094
"你",6030
"个",5074
"?",4886
"––",4449
"他们",4236
"!",3940
"把",3858
"就",3729
"上",3433
"和",3315
"......",3238
"里",3207
"那",3164
"这",3000
"有",2952
"罗恩",2837
"她",2797
"人",2768
"都",2716
"没有",2213
"我们",2171
"赫敏",2168
"会",2144
"也",2100
"什么",2078
"要",2022
"还",1883
"得",1857
"只",1830
"又",1804
"想",1766
"很",1759
"从",1734
"它",1697
"知道",1645
"对",1632
"看",1589
"、",1585
"能",1576
"小",1501
"去",1498
"好",1451
"来",1355
"过",1353
"自己",1328
"到",1307
"吧",1300
"被",1273
"吗",1230
"大",1223
"多",1222
"呢",1220
"海格",1186
"用",1185
"教授",1164
"你们",1156
"但",1156
"先生",1123
"没",1076
"时",1075
"声音",1063
"起来",1061
"两",1016
":",985
"给",982
"韦斯莱",950
"像",911
"让",902
"看见",899
"已经",837
"眼睛",818
"比",810
"如果",808
"魔杖",801
"东西",789
"走",784
"事",778
"魔法",773
"怎么",772
"问",771
"种",768
"跟",763
"几",757
"现在",752
"做",747
"然后",732
"朝",731
"邓布利多",731
"次",709
"手",707
"这样",704
"啊",698
"再",694
"出来",693
"可是",685
"可以",680
"中",664
"可",663
"最",662
"似乎",657
"快",656
"告诉",652
"头",651
"突然",648
".",637
"因为",632
"太",631
"一边",622
"马尔福",587
"而",586
"条",584
"斯内普",582
"脸",565
"说道",558
"一样",557
"才",551
"天狼星",550
".....",549
"巫师",533
"下来",525
"声",524
"真",523
"利多",520
"波特",520
"三",518
"见",518
"谁",506
"这里",505
"夫人",505
"望",501
"每",501
"觉得",499
"听见",497
"那个",493
"看到",487
"霍格沃茨",485
"它们",485
"可能",483
"后",481
"张",481
"那些",481
"天",479
"更",477
"一下",472
"邓布",466
"下",465
"一些",464
"听",462
"正",459
"这么",452
"一直",446
"穆迪",444
"向",444
"姨父",444
"当",443
"非常",440
"弗雷德",437
"坐",436
"认为",436
"站",433
"道",432
"开始",429
"使",426
"弗农",425
"•",425
"希望",422
"发现",421
"叫",420
"麦格",420
"一起",418
"好像",414
"件",413
"伏地魔",409
"点",405
"时候",402
"地方",398
"哦",398
"大家",398
"不过",397
"笑",395
"说话",392
"事情",391
"门",391
"那么",391
"感到",390
"别",388
"话",378
"达力",377
"肯定",374
"为什么",372
"出",371
"那里",369
"学校",369
"等",368
"前",367
"时间",364
"吃",363
"卢平",362
"长",358
"过来",358
"布莱克",356
"应该",356
"最后",355
"乔治",348
"这时",347
"后面",346
"需要",344
"这个",341
"找",341
"为",333
